veteran_feature_season,draft_status,rows,experience_note,experience
2011,drafted_other_position,7,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2018,drafted_skill_paired,62,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2018,drafted_skill_unpaired,408,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2018,no_draft_record,267,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2019,drafted_other_position,8,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2019,drafted_skill_outside_cohort,1,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2019,drafted_skill_paired,64,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2019,drafted_skill_unpaired,420,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2019,no_draft_record,268,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2020,drafted_other_position,8,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2020,drafted_skill_outside_cohort,1,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2020,drafted_skill_paired,66,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2020,drafted_skill_unpaired,419,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2020,no_draft_record,266,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2021,drafted_other_position,7,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2021,drafted_skill_outside_cohort,1,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2021,drafted_skill_paired,68,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2021,drafted_skill_unpaired,442,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2021,no_draft_record,265,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2022,drafted_other_position,7,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2022,drafted_skill_outside_cohort,1,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2022,drafted_skill_paired,71,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2022,drafted_skill_unpaired,437,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2022,no_draft_record,268,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2023,drafted_other_position,4,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2023,drafted_skill_outside_cohort,1,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2023,drafted_skill_paired,68,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2023,drafted_skill_unpaired,450,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2023,no_draft_record,233,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2024,drafted_other_position,6,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2024,drafted_skill_paired,66,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2024,drafted_skill_unpaired,449,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2024,no_draft_record,217,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2011,drafted_other_position,7,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2011,drafted_skill_outside_cohort,29,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2011,drafted_skill_paired,68,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2011,drafted_skill_unpaired,391,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2011,no_draft_record,175,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2012,drafted_other_position,7,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2012,drafted_skill_outside_cohort,22,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2012,drafted_skill_paired,72,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2012,drafted_skill_unpaired,399,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2012,no_draft_record,189,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2013,drafted_other_position,4,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2013,drafted_skill_outside_cohort,9,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2013,drafted_skill_paired,67,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2013,drafted_skill_unpaired,393,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2013,no_draft_record,213,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2014,drafted_other_position,3,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2014,drafted_skill_outside_cohort,5,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2014,drafted_skill_paired,65,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2014,drafted_skill_unpaired,392,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2014,no_draft_record,226,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2015,drafted_other_position,5,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2015,drafted_skill_outside_cohort,3,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2015,drafted_skill_paired,63,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2015,drafted_skill_unpaired,396,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2015,no_draft_record,225,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2016,drafted_other_position,11,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2016,drafted_skill_outside_cohort,3,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2016,drafted_skill_paired,70,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2016,drafted_skill_unpaired,399,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2016,no_draft_record,257,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2017,drafted_other_position,13,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2017,drafted_skill_outside_cohort,1,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2017,drafted_skill_paired,60,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2017,drafted_skill_unpaired,398,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2017,no_draft_record,256,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2018,drafted_other_position,12,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2018,drafted_skill_outside_cohort,1,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2018,drafted_skill_paired,70,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2018,drafted_skill_unpaired,400,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2018,no_draft_record,267,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2019,drafted_other_position,8,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2019,drafted_skill_outside_cohort,1,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2019,drafted_skill_paired,74,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2019,drafted_skill_unpaired,410,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2019,no_draft_record,268,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2020,drafted_other_position,8,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2020,drafted_skill_outside_cohort,1,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2020,drafted_skill_paired,71,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2020,drafted_skill_unpaired,414,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2020,no_draft_record,266,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2021,drafted_other_position,7,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2021,drafted_skill_outside_cohort,1,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2021,drafted_skill_paired,74,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2021,drafted_skill_unpaired,436,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2021,no_draft_record,265,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2022,drafted_other_position,7,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2022,drafted_skill_outside_cohort,1,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2022,drafted_skill_paired,71,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2022,drafted_skill_unpaired,437,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2022,no_draft_record,268,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2023,drafted_other_position,4,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2023,drafted_skill_outside_cohort,1,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2023,drafted_skill_paired,77,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2023,drafted_skill_unpaired,441,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2023,no_draft_record,233,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2024,drafted_other_position,6,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2024,drafted_skill_paired,74,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2024,drafted_skill_unpaired,441,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2024,no_draft_record,217,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),2
2011,drafted_other_position,7,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
2011,drafted_skill_outside_cohort,29,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
2011,drafted_skill_paired,64,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
2011,drafted_skill_unpaired,395,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
2011,no_draft_record,175,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
2012,drafted_other_position,7,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
2012,drafted_skill_outside_cohort,22,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
2012,drafted_skill_paired,64,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
2012,drafted_skill_unpaired,407,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
2012,no_draft_record,189,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
2013,drafted_other_position,4,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
2013,drafted_skill_outside_cohort,9,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
2013,drafted_skill_paired,71,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
2013,drafted_skill_unpaired,389,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
2013,no_draft_record,213,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
2014,drafted_other_position,3,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
2014,drafted_skill_outside_cohort,5,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
2014,drafted_skill_paired,64,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
2014,drafted_skill_unpaired,393,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
2014,no_draft_record,226,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
2015,drafted_other_position,5,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
2015,drafted_skill_outside_cohort,3,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
2015,drafted_skill_paired,64,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
2015,drafted_skill_unpaired,395,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
2015,no_draft_record,225,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
2016,drafted_other_position,11,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
2016,drafted_skill_outside_cohort,3,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
2016,drafted_skill_paired,59,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
2016,drafted_skill_unpaired,410,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
2016,no_draft_record,257,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
2017,drafted_other_position,13,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
2017,drafted_skill_outside_cohort,1,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
2017,drafted_skill_paired,66,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
2017,drafted_skill_unpaired,392,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
2017,no_draft_record,256,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
2018,drafted_other_position,12,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
2018,drafted_skill_outside_cohort,1,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
2018,drafted_skill_paired,56,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
2018,drafted_skill_unpaired,414,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
2018,no_draft_record,267,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
2019,drafted_other_position,8,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
2019,drafted_skill_outside_cohort,1,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
2019,drafted_skill_paired,67,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
2019,drafted_skill_unpaired,417,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
2019,no_draft_record,268,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
2020,drafted_other_position,8,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
2020,drafted_skill_outside_cohort,1,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
2020,drafted_skill_paired,72,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
2020,drafted_skill_unpaired,413,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
2020,no_draft_record,266,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
2021,drafted_other_position,7,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
2021,drafted_skill_outside_cohort,1,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
2021,drafted_skill_paired,65,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
2021,drafted_skill_unpaired,445,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
2021,no_draft_record,265,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
2022,drafted_other_position,7,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
2022,drafted_skill_outside_cohort,1,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
2022,drafted_skill_paired,67,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
2022,drafted_skill_unpaired,441,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
2022,no_draft_record,268,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
2023,drafted_other_position,4,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
2023,drafted_skill_outside_cohort,1,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
2023,drafted_skill_paired,64,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
2023,drafted_skill_unpaired,454,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
2023,no_draft_record,233,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
2024,drafted_other_position,6,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
2024,drafted_skill_paired,72,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
2024,drafted_skill_unpaired,443,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),3
