sleeper_id,name,league_position,fantasy_positions,availability_class,nfl_team,nfl_status_raw,gsis_id,join_basis,sleeper_gsis_agrees,identity_status,draft_status,draft_sources_positive,draft_sources_checked,draft_season,draft_round,draft_pick,draft_position,draft_sources_agree,draft_conflict_detail,birth_date,age_2026,entry_season,rookie_season,college,nfl_appearance_seasons,first_appearance_season,last_appearance_season,seasons_since_last_appearance,window_points_last_appearance,dg177_2025_feature_row,dg177_2025_forecast_row,dg177_last_feature_season,dg165_rookie_2026_row,full_nfl_source_reason,full_nfl_last_season_seen,full_nfl_games_2025,route,route_reason,inputs_available
13423,Eli Heidenreich,RB,RB,active,PIT,ACT,00-0041490,sleeper_id,,verified_nfl_join,drafted_verified,2,2,2026.0,7.0,230.0,FB,True,,2003-07-28,23.096509240246405,2026.0,2026.0,Navy,0,,,,,False,False,,False,no_nfl_history,,,never_appeared_drafted,"no championship-window stat row in the common outcome artifact 2001–2025; a statement about the artifact's records, not a claim of zero individual production observed","draft_season,birth_date,entry_season,college"
1379,Kyle Juszczyk,RB,RB,active,SF,ACT,00-0029892,sleeper_id,True,verified_nfl_join,drafted_verified,3,3,2013.0,4.0,130.0,RB,True,,1991-04-23,35.35934291581109,2013.0,2013.0,Harvard,13,2013.0,2025.0,0.0,55.5,True,True,2025.0,False,not_in_dg177_universe,,,existing_forecast_join_failure,"a DG-177 2025 forecast exists under this gsis id but the accepted board carries none for the Sleeper id — a join to investigate, not a new estimate","draft_season,birth_date,entry_season,college,last_appearance_season,dg177_last_feature_season"
2471,Michael Burton,RB,RB,active,CLE,ACT,00-0031595,sleeper_id,True,verified_nfl_join,drafted_verified,3,3,2015.0,5.0,168.0,FB,True,,1992-02-01,34.58179329226557,2015.0,2015.0,Rutgers,10,2015.0,2024.0,1.0,29.0,True,True,2025.0,False,not_in_dg177_universe,,,existing_forecast_join_failure,"a DG-177 2025 forecast exists under this gsis id but the accepted board carries none for the Sleeper id — a join to investigate, not a new estimate","draft_season,birth_date,entry_season,college,last_appearance_season,dg177_last_feature_season"
12700,Gavin Bartholomew,TE,TE,active,MIN,ACT,00-0040215,sleeper_id,,verified_nfl_join,drafted_verified,3,3,2025.0,6.0,202.0,TE,True,,2003-04-30,23.340177960301162,2025.0,2025.0,Pittsburgh,0,,,,,False,False,,False,no_nfl_history,,,never_appeared_drafted,"no championship-window stat row in the common outcome artifact 2001–2025; a statement about the artifact's records, not a claim of zero individual production observed","draft_season,birth_date,entry_season,college"
12938,Jackson Meeks,TE,TE,active,DET,ACT,00-0040390,sleeper_id,,verified_nfl_join,no_draft_record_2_sources,0,2,,,,,,,2003-03-24,23.44147843942505,2025.0,2025.0,Syracuse,0,,,,,False,False,,False,no_nfl_history,,,never_appeared_no_draft_record,"no championship-window stat row in the common outcome artifact 2001–2025; a statement about the artifact's records, not a claim of zero individual production observed","birth_date,entry_season,college"
12817,Jake Briningstool,TE,TE,active,KC,ACT,00-0040081,sleeper_id,,verified_nfl_join,no_draft_record_2_sources,0,2,,,,,,,2002-12-09,23.72895277207392,2025.0,2025.0,Clemson,0,,,,,False,False,,False,no_nfl_history,,,never_appeared_no_draft_record,"no championship-window stat row in the common outcome artifact 2001–2025; a statement about the artifact's records, not a claim of zero individual production observed","birth_date,entry_season,college"
13726,Camden Brown,WR,WR,active,DAL,ACT,00-0040930,sleeper_id,,verified_nfl_join,no_draft_record_1_source,0,1,,,,,,,2004-05-06,22.321697467488022,2026.0,2026.0,Georgia Southern; Auburn,0,,,,,False,False,,False,no_nfl_history,,,never_appeared_no_draft_record,"no championship-window stat row in the common outcome artifact 2001–2025; a statement about the artifact's records, not a claim of zero individual production observed","birth_date,entry_season,college"
13264,Dohnte Meyers,WR,WR,active,CIN,ACT,00-0040785,sleeper_id,,verified_nfl_join,no_draft_record_1_source,0,1,,,,,,,2000-07-06,26.154688569472963,2026.0,2026.0,Delta State University; Presbyterian College,0,,,,,False,False,,False,no_nfl_history,,,never_appeared_no_draft_record,"no championship-window stat row in the common outcome artifact 2001–2025; a statement about the artifact's records, not a claim of zero individual production observed","birth_date,entry_season,college"
13770,J. Michael Sturdivant,WR,WR,active,GB,ACT,00-0040948,sleeper_id,,verified_nfl_join,no_draft_record_1_source,0,1,,,,,,,2002-09-06,23.98631074606434,2026.0,2026.0,Florida; UCLA; California,0,,,,,False,False,,False,no_nfl_history,,,never_appeared_no_draft_record,"no championship-window stat row in the common outcome artifact 2001–2025; a statement about the artifact's records, not a claim of zero individual production observed","birth_date,entry_season,college"
13199,Montorie Foster,WR,WR,active,SEA,ACT,00-0040621,sleeper_id,,verified_nfl_join,no_draft_record_2_sources,0,2,,,,,,,2001-08-03,25.078713210130047,2025.0,2025.0,Michigan State,0,,,,,False,False,,False,no_nfl_history,,,never_appeared_no_draft_record,"no championship-window stat row in the common outcome artifact 2001–2025; a statement about the artifact's records, not a claim of zero individual production observed","birth_date,entry_season,college"
11851,Carter Bradley,QB,QB,injured_reserve,JAX,RES,00-0039534,sleeper_id,,verified_nfl_join,no_draft_record_2_sources,0,2,,,,,,,2000-03-09,26.480492813141684,2024.0,2024.0,South Alabama; Toledo,0,,,,,False,False,,False,no_nfl_history,,,never_appeared_no_draft_record,"no championship-window stat row in the common outcome artifact 2001–2025; a statement about the artifact's records, not a claim of zero individual production observed","birth_date,entry_season,college"
12705,Graham Mertz,QB,QB,injured_reserve,HOU,RES,00-0040211,sleeper_id,,verified_nfl_join,drafted_verified,3,3,2025.0,6.0,197.0,QB,True,,2000-12-06,25.73579739904175,2025.0,2025.0,Florida; Wisconsin,0,,,,,False,False,,False,no_nfl_history,,,never_appeared_drafted,"no championship-window stat row in the common outcome artifact 2001–2025; a statement about the artifact's records, not a claim of zero individual production observed","draft_season,birth_date,entry_season,college"
13725,Dominic Richardson,RB,RB,injured_reserve,NYJ,RES,00-0040937,sleeper_id,,unknown,unknown_identity,0,0,,,,,,,,,,,,0,,,,,False,False,,False,no_nfl_history,,,unknown_identity,"the NFL gsis id is known to no held source (draft picks, players table, rosters)",
13778,EJ Smith,RB,RB,injured_reserve,KC,RES,00-0040964,sleeper_id,,unknown,unknown_identity,0,0,,,,,,,,,,,,0,,,,,False,False,,False,no_nfl_history,,,unknown_identity,"the NFL gsis id is known to no held source (draft picks, players table, rosters)",
13964,Myles Montgomery,RB,RB,injured_reserve,NE,RES,00-0041323,sleeper_id,,verified_nfl_join,no_draft_record_1_source,0,1,,,,,,,2003-04-04,23.411362080766597,2026.0,2026.0,UCF; Cincinnati,0,,,,,False,False,,False,no_nfl_history,,,never_appeared_no_draft_record,"no championship-window stat row in the common outcome artifact 2001–2025; a statement about the artifact's records, not a claim of zero individual production observed","birth_date,entry_season,college"
12735,Caleb Lohner,TE,TE,injured_reserve,DEN,RES,00-0040240,sleeper_id,,verified_nfl_join,drafted_verified,3,3,2025.0,7.0,241.0,TE,True,,2001-10-01,24.917180013689254,2025.0,2025.0,Utah; Baylor,0,,,,,False,False,,False,no_nfl_history,,,never_appeared_drafted,"no championship-window stat row in the common outcome artifact 2001–2025; a statement about the artifact's records, not a claim of zero individual production observed","draft_season,birth_date,entry_season,college"
8214,Cole Turner,TE,TE,injured_reserve,MIA,RES,00-0037078,sleeper_id,,verified_nfl_join,drafted_verified,3,3,2022.0,5.0,149.0,TE,True,,2000-03-16,26.46132785763176,2022.0,2022.0,Nevada,2,2022.0,2023.0,2.0,23.0,False,False,2024.0,False,left_cohort_two_absent_seasons,2023.0,,dormant_drafted,"appeared in 2 window season(s), last 2023; 2 season(s) absent since","draft_season,birth_date,entry_season,college,last_appearance_season,dg177_last_feature_season"
13342,John Michael Gyllenborg,TE,TE,injured_reserve,KC,RES,00-0040955,sleeper_id,,verified_nfl_join,no_draft_record_1_source,0,1,,,,,,,2002-08-07,24.0684462696783,2026.0,2026.0,Wyoming,0,,,,,False,False,,False,no_nfl_history,,,never_appeared_no_draft_record,"no championship-window stat row in the common outcome artifact 2001–2025; a statement about the artifact's records, not a claim of zero individual production observed","birth_date,entry_season,college"
12070,McCallan Castles,TE,TE,injured_reserve,GB,RES,00-0039263,sleeper_id,,verified_nfl_join,no_draft_record_2_sources,0,2,,,,,,,1999-12-03,26.746064339493497,2024.0,2024.0,Tennessee; UC Davis; California,0,,,,,False,False,,False,no_nfl_history,,,never_appeared_no_draft_record,"no championship-window stat row in the common outcome artifact 2001–2025; a statement about the artifact's records, not a claim of zero individual production observed","birth_date,entry_season,college"
14034,Brock Rechsteiner,WR,WR,injured_reserve,NO,RES,00-0041451,sleeper_id,,verified_nfl_join,no_draft_record_1_source,0,1,,,,,,,2002-08-21,24.030116358658454,2026.0,2026.0,Jacksonville State,0,,,,,False,False,,False,no_nfl_history,,,never_appeared_no_draft_record,"no championship-window stat row in the common outcome artifact 2001–2025; a statement about the artifact's records, not a claim of zero individual production observed","birth_date,entry_season,college"
13410,Chase Roberts,WR,WR,injured_reserve,LV,RES,00-0041004,sleeper_id,,unknown,unknown_identity,0,0,,,,,,,,,,,,0,,,,,False,False,,False,no_nfl_history,,,unknown_identity,"the NFL gsis id is known to no held source (draft picks, players table, rosters)",
12210,Cole Burgess,WR,WR,injured_reserve,PIT,RES,00-0039626,sleeper_id,,verified_nfl_join,no_draft_record_2_sources,0,2,,,,,,,2000-02-11,26.55441478439425,2024.0,2024.0,Cortland State Of New York,0,,,,,False,False,,False,no_nfl_history,,,never_appeared_no_draft_record,"no championship-window stat row in the common outcome artifact 2001–2025; a statement about the artifact's records, not a claim of zero individual production observed","birth_date,entry_season,college"
6453,D.J. Montgomery,WR,WR,injured_reserve,IND,RES,00-0035045,sleeper_id,True,verified_nfl_join,no_draft_record_2_sources,0,2,,,,,,,1996-11-17,29.78781656399726,2019.0,2019.0,Austin Peay; Holmes County JC,2,2021.0,2023.0,2.0,14.6,False,False,2024.0,False,left_cohort_two_absent_seasons,2023.0,,dormant_no_draft_record,"appeared in 2 window season(s), last 2023; 2 season(s) absent since","birth_date,entry_season,college,last_appearance_season,dg177_last_feature_season"
13392,Jeff Caldwell,WR,WR,injured_reserve,KC,RES,00-0040953,sleeper_id,,verified_nfl_join,no_draft_record_1_source,0,1,,,,,,,2003-03-02,23.50171115674196,2026.0,2026.0,Cincinnati; Lindenwood,0,,,,,False,False,,False,no_nfl_history,,,never_appeared_no_draft_record,"no championship-window stat row in the common outcome artifact 2001–2025; a statement about the artifact's records, not a claim of zero individual production observed","birth_date,entry_season,college"
12773,DJ Uiagalelei,QB,QB,practice_squad,LAC,DEV,00-0040464,sleeper_id,,verified_nfl_join,no_draft_record_2_sources,0,2,,,,,,,2001-04-17,25.374401095140314,2025.0,2025.0,Florida State; Oregon State; Clemson,0,,,,,False,False,,False,no_nfl_history,,,never_appeared_no_draft_record,"no championship-window stat row in the common outcome artifact 2001–2025; a statement about the artifact's records, not a claim of zero individual production observed","birth_date,entry_season,college"
6185,Easton Stick,QB,QB,practice_squad,TB,DEV,00-0035282,sleeper_id,True,verified_nfl_join,drafted_verified,3,3,2019.0,5.0,166.0,QB,True,,1995-09-09,30.978781656399725,2019.0,2019.0,North Dakota State,2,2020.0,2023.0,2.0,51.540000000000006,False,False,2024.0,False,left_cohort_two_absent_seasons,2023.0,,dormant_drafted,"appeared in 2 window season(s), last 2023; 2 season(s) absent since","draft_season,birth_date,entry_season,college,last_appearance_season,dg177_last_feature_season"
13314,Luke Altmyer,QB,QB,practice_squad,DET,DEV,00-0041453,sleeper_id,,verified_nfl_join,no_draft_record_1_source,0,1,,,,,,,2002-10-22,23.860369609856264,2026.0,2026.0,Illinois; Mississippi,0,,,,,False,False,,False,no_nfl_history,,,never_appeared_no_draft_record,"no championship-window stat row in the common outcome artifact 2001–2025; a statement about the artifact's records, not a claim of zero individual production observed","birth_date,entry_season,college"
10983,Sean Clifford,QB,QB,practice_squad,CIN,DEV,00-0038391,sleeper_id,,verified_nfl_join,drafted_verified,3,3,2023.0,5.0,149.0,QB,True,,1998-07-14,28.134154688569474,2023.0,2023.0,Penn State,1,2023.0,2023.0,2.0,1.28,False,False,2024.0,False,left_cohort_two_absent_seasons,2023.0,,dormant_drafted,"appeared in 1 window season(s), last 2023; 2 season(s) absent since","draft_season,birth_date,entry_season,college,last_appearance_season,dg177_last_feature_season"
8025,Adam Prentice,RB,RB,practice_squad,DEN,DEV,00-0036727,sleeper_id,,verified_nfl_join,no_draft_record_2_sources,0,2,,,,,,,1997-01-16,29.623545516769337,2021.0,2021.0,South Carolina,5,2021.0,2025.0,0.0,15.7,True,True,2025.0,False,not_in_dg177_universe,,,existing_forecast_join_failure,"a DG-177 2025 forecast exists under this gsis id but the accepted board carries none for the Sleeper id — a join to investigate, not a new estimate","birth_date,entry_season,college,last_appearance_season,dg177_last_feature_season"
13277,CJ Donaldson,RB,RB,practice_squad,NO,DEV,00-0041326,sleeper_id,,verified_nfl_join,no_draft_record_1_source,0,1,,,,,,,2004-07-09,22.146475017111566,2026.0,2026.0,Ohio State; West Virginia,0,,,,,False,False,,False,no_nfl_history,,,never_appeared_no_draft_record,"no championship-window stat row in the common outcome artifact 2001–2025; a statement about the artifact's records, not a claim of zero individual production observed","birth_date,entry_season,college"
11186,Carlos Washington,RB,RB,practice_squad,MIA,DEV,00-0038930,sleeper_id,,verified_nfl_join,no_draft_record_2_sources,0,2,,,,,,,1998-12-26,27.682409308692677,2023.0,2023.0,Southeastern Louisiana,0,,,,,False,False,,False,no_nfl_history,,,never_appeared_no_draft_record,"no championship-window stat row in the common outcome artifact 2001–2025; a statement about the artifact's records, not a claim of zero individual production observed","birth_date,entry_season,college"
13595,Cash Jones,RB,RB,practice_squad,ATL,DEV,00-0041191,sleeper_id,,verified_nfl_join,no_draft_record_1_source,0,1,,,,,,,2000-04-05,26.406570841889117,2026.0,2026.0,Georgia,0,,,,,False,False,,False,no_nfl_history,,,never_appeared_no_draft_record,"no championship-window stat row in the common outcome artifact 2001–2025; a statement about the artifact's records, not a claim of zero individual production observed","birth_date,entry_season,college"
13339,Davon Booth,RB,RB,practice_squad,IND,DEV,00-0041277,sleeper_id,,verified_nfl_join,no_draft_record_1_source,0,1,,,,,,,2002-01-23,24.605065023956193,2026.0,2026.0,Mississippi State; Utah State,0,,,,,False,False,,False,no_nfl_history,,,never_appeared_no_draft_record,"no championship-window stat row in the common outcome artifact 2001–2025; a statement about the artifact's records, not a claim of zero individual production observed","birth_date,entry_season,college"
13315,Dean Connors,RB,RB,practice_squad,LA,DEV,00-0041415,sleeper_id,,verified_nfl_join,no_draft_record_1_source,0,1,,,,,,,2003-08-29,23.00889801505818,2026.0,2026.0,Houston; Rice; Riverside Community College,0,,,,,False,False,,False,no_nfl_history,,,never_appeared_no_draft_record,"no championship-window stat row in the common outcome artifact 2001–2025; a statement about the artifact's records, not a claim of zero individual production observed","birth_date,entry_season,college"
9227,Israel Abanikanda,RB,RB,practice_squad,DAL,DEV,00-0038389,sleeper_id,,verified_nfl_join,drafted_verified,3,3,2023.0,5.0,143.0,RB,True,,2002-10-05,23.906913073237508,2023.0,2023.0,Pittsburgh,1,2023.0,2023.0,2.0,17.7,False,False,2024.0,False,left_cohort_two_absent_seasons,2023.0,,dormant_drafted,"appeared in 1 window season(s), last 2023; 2 season(s) absent since","draft_season,birth_date,entry_season,college,last_appearance_season,dg177_last_feature_season"
13348,J'Mari Taylor,RB,RB,practice_squad,JAX,DEV,00-0041217,sleeper_id,,verified_nfl_join,no_draft_record_1_source,0,1,,,,,,,2002-03-15,24.465434633812457,2026.0,2026.0,Virginia; North Carolina Central,0,,,,,False,False,,False,no_nfl_history,,,never_appeared_no_draft_record,"no championship-window stat row in the common outcome artifact 2001–2025; a statement about the artifact's records, not a claim of zero individual production observed","birth_date,entry_season,college"
13419,Jaydn Ott,RB,RB,practice_squad,KC,DEV,00-0040959,sleeper_id,,verified_nfl_join,no_draft_record_1_source,0,1,,,,,,,2002-12-16,23.709787816564,2026.0,2026.0,Oklahoma; California,0,,,,,False,False,,False,no_nfl_history,,,never_appeared_no_draft_record,"no championship-window stat row in the common outcome artifact 2001–2025; a statement about the artifact's records, not a claim of zero individual production observed","birth_date,entry_season,college"
12969,Lan Larison,RB,RB,practice_squad,NE,DEV,00-0040568,sleeper_id,,verified_nfl_join,no_draft_record_2_sources,0,2,,,,,,,2001-10-11,24.889801505817932,2025.0,2025.0,UC Davis,0,,,,,False,False,,False,no_nfl_history,,,never_appeared_no_draft_record,"no championship-window stat row in the common outcome artifact 2001–2025; a statement about the artifact's records, not a claim of zero individual production observed","birth_date,entry_season,college"
13437,Noah Whittington,RB,RB,practice_squad,HOU,DEV,00-0041312,sleeper_id,,verified_nfl_join,no_draft_record_1_source,0,1,,,,,,,2001-12-13,24.71731690622861,2026.0,2026.0,Oregon; Western Kentucky,0,,,,,False,False,,False,no_nfl_history,,,never_appeared_no_draft_record,"no championship-window stat row in the common outcome artifact 2001–2025; a statement about the artifact's records, not a claim of zero individual production observed","birth_date,entry_season,college"
13418,Robert Henry,RB,RB,practice_squad,WAS,DEV,00-0041178,sleeper_id,,verified_nfl_join,no_draft_record_1_source,0,1,,,,,,,2001-12-31,24.66803559206023,2026.0,2026.0,Texas-San Antonio,0,,,,,False,False,,False,no_nfl_history,,,never_appeared_no_draft_record,"no championship-window stat row in the common outcome artifact 2001–2025; a statement about the artifact's records, not a claim of zero individual production observed","birth_date,entry_season,college"
13416,Roman Hemby,RB,RB,practice_squad,LV,DEV,00-0040998,sleeper_id,,verified_nfl_join,no_draft_record_1_source,0,1,,,,,,,2002-08-16,24.043805612594113,2026.0,2026.0,Indiana; Maryland,0,,,,,False,False,,False,no_nfl_history,,,never_appeared_no_draft_record,"no championship-window stat row in the common outcome artifact 2001–2025; a statement about the artifact's records, not a claim of zero individual production observed","birth_date,entry_season,college"
6918,Salvon Ahmed,RB,RB,practice_squad,CHI,DEV,00-0036020,sleeper_id,,verified_nfl_join,no_draft_record_2_sources,0,2,,,,,,,1998-12-29,27.67419575633128,2020.0,2020.0,Washington,4,2020.0,2023.0,2.0,42.9,False,False,2024.0,False,left_cohort_two_absent_seasons,2023.0,,dormant_no_draft_record,"appeared in 4 window season(s), last 2023; 2 season(s) absent since","birth_date,entry_season,college,last_appearance_season,dg177_last_feature_season"
12984,CJ Dippre,TE,TE,practice_squad,TB,DEV,00-0040566,sleeper_id,,verified_nfl_join,no_draft_record_2_sources,0,2,,,,,,,2002-04-29,24.34223134839151,2025.0,2025.0,Alabama; Maryland,0,,,,,False,False,,False,no_nfl_history,,,never_appeared_no_draft_record,"no championship-window stat row in the common outcome artifact 2001–2025; a statement about the artifact's records, not a claim of zero individual production observed","birth_date,entry_season,college"
6529,Chris Myarick,TE,TE,practice_squad,LV,DEV,00-0035345,sleeper_id,True,verified_nfl_join,no_draft_record_2_sources,0,2,,,,,,,1995-10-06,30.90485968514716,2019.0,2019.0,Temple,2,2021.0,2022.0,3.0,19.5,False,False,2023.0,False,left_cohort_two_absent_seasons,2022.0,,dormant_no_draft_record,"appeared in 2 window season(s), last 2022; 3 season(s) absent since","birth_date,entry_season,college,last_appearance_season,dg177_last_feature_season"
13321,Dan Villari,TE,TE,practice_squad,LA,DEV,00-0041422,sleeper_id,,verified_nfl_join,no_draft_record_1_source,0,1,,,,,,,2002-06-29,24.175222450376456,2026.0,2026.0,Syracuse; Michigan,0,,,,,False,False,,False,no_nfl_history,,,never_appeared_no_draft_record,"no championship-window stat row in the common outcome artifact 2001–2025; a statement about the artifact's records, not a claim of zero individual production observed","birth_date,entry_season,college"
12883,Joshua Simon,TE,TE,practice_squad,WAS,DEV,00-0040552,sleeper_id,,verified_nfl_join,no_draft_record_2_sources,0,2,,,,,,,2000-11-27,25.760438056125942,2025.0,2025.0,South Carolina; Western Kentucky,0,,,,,False,False,,False,no_nfl_history,,,never_appeared_no_draft_record,"no championship-window stat row in the common outcome artifact 2001–2025; a statement about the artifact's records, not a claim of zero individual production observed","birth_date,entry_season,college"
13432,Khalil Dinkins,TE,TE,practice_squad,SF,DEV,00-0041357,sleeper_id,,verified_nfl_join,no_draft_record_1_source,0,1,,,,,,,2002-05-29,24.26009582477755,2026.0,2026.0,Penn State,0,,,,,False,False,,False,no_nfl_history,,,never_appeared_no_draft_record,"no championship-window stat row in the common outcome artifact 2001–2025; a statement about the artifact's records, not a claim of zero individual production observed","birth_date,entry_season,college"
13401,Michael Trigg,TE,TE,practice_squad,DAL,DEV,00-0040939,sleeper_id,,verified_nfl_join,no_draft_record_1_source,0,1,,,,,,,2002-06-27,24.18069815195072,2026.0,2026.0,Baylor; Mississippi; USC,0,,,,,False,False,,False,no_nfl_history,,,never_appeared_no_draft_record,"no championship-window stat row in the common outcome artifact 2001–2025; a statement about the artifact's records, not a claim of zero individual production observed","birth_date,entry_season,college"
8523,Nick Muse,TE,TE,practice_squad,ATL,DEV,00-0037317,sleeper_id,,verified_nfl_join,drafted_verified,3,3,2022.0,7.0,227.0,TE,True,,1998-11-25,27.76728268309377,2022.0,2022.0,South Carolina,0,,,,,False,False,2024.0,False,left_cohort_two_absent_seasons,2023.0,,never_appeared_drafted,"no championship-window stat row in the common outcome artifact 2001–2025; a statement about the artifact's records, not a claim of zero individual production observed","draft_season,birth_date,entry_season,college,dg177_last_feature_season"
6451,Stephen Carlson,TE,TE,practice_squad,CHI,DEV,00-0035039,sleeper_id,True,verified_nfl_join,no_draft_record_2_sources,0,2,,,,,,,1996-12-12,29.71937029431896,2019.0,2019.0,Princeton,2,2019.0,2020.0,5.0,4.1,False,False,2021.0,False,left_cohort_two_absent_seasons,2020.0,,dormant_no_draft_record,"appeared in 2 window season(s), last 2020; 5 season(s) absent since","birth_date,entry_season,college,last_appearance_season,dg177_last_feature_season"
12863,Andrew Armstrong,WR,WR,practice_squad,KC,DEV,00-0040298,sleeper_id,,verified_nfl_join,no_draft_record_2_sources,0,2,,,,,,,2000-10-31,25.83436002737851,2025.0,2025.0,Arkansas; East Texas A&M,0,,,,,False,False,,False,no_nfl_history,,,never_appeared_no_draft_record,"no championship-window stat row in the common outcome artifact 2001–2025; a statement about the artifact's records, not a claim of zero individual production observed","birth_date,entry_season,college"
12460,Antwane Wells,WR,WR,practice_squad,ATL,DEV,00-0040438,sleeper_id,,verified_nfl_join,no_draft_record_2_sources,0,2,,,,,,,2001-04-02,25.415468856947296,2025.0,2025.0,Mississippi; South Carolina; James Madison,0,,,,,False,False,,False,no_nfl_history,,,never_appeared_no_draft_record,"no championship-window stat row in the common outcome artifact 2001–2025; a statement about the artifact's records, not a claim of zero individual production observed","birth_date,entry_season,college"
