game_id,play_id,event_slot,event_type,player_id,team,week,season_type,special_teams,own_team,lost,status,ambiguity_reason,missing_player_id,desc,coverage_reason
2025_16_LA_SEA,1839,1,fumble,00-0033908,SEA,16,REG,False,,True,ambiguous,slot_capacity,False,"(:51) (Shotgun) 14-S.Darnold pass short middle to 10-C.Kupp to LA 17 for 17 yards (3-K.Curl). FUMBLES (3-K.Curl), RECOVERED by LA-14-C.Durant at LA 1. The Replay Official reviewed the touchback ruling, and the play was REVERSED. (Shotgun) 14-S.Darnold pass short middle to 10-C.Kupp to LA 17 for 17 yards (3-K.Curl). FUMBLES (3-K.Curl), RECOVERED by LA-14-C.Durant at LA 0. Touchback.",status_ambiguous
2025_16_LA_SEA,1839,1,recovery,00-0037839,LA,16,REG,False,False,,ambiguous,slot_capacity,False,"(:51) (Shotgun) 14-S.Darnold pass short middle to 10-C.Kupp to LA 17 for 17 yards (3-K.Curl). FUMBLES (3-K.Curl), RECOVERED by LA-14-C.Durant at LA 1. The Replay Official reviewed the touchback ruling, and the play was REVERSED. (Shotgun) 14-S.Darnold pass short middle to 10-C.Kupp to LA 17 for 17 yards (3-K.Curl). FUMBLES (3-K.Curl), RECOVERED by LA-14-C.Durant at LA 0. Touchback.",status_ambiguous
2025_17_SEA_CAR,1501,1,forced_fumble,00-0040746,CAR,17,REG,False,,,ambiguous,slot_capacity,False,"(5:33) (Shotgun) 14-S.Darnold to SEA 40 for -6 yards. FUMBLES, and recovers at SEA 39. 14-S.Darnold sacked at SEA 39 for -7 yards (11-N.Scourton). FUMBLES (11-N.Scourton), touched at SEA 41, RECOVERED by CAR-94-A.Robinson at SEA 40. 94-A.Robinson to SEA 37 for 3 yards (14-S.Darnold). FUMBLES (14-S.Darnold), recovered by CAR-56-C.Rozeboom at SEA 26. The Replay Official reviewed the fumble ruling, and the play was Upheld. The ruling on the field stands.",status_ambiguous
2025_17_SEA_CAR,1501,1,fumble,00-0034869,SEA,17,REG,False,,False,ambiguous,slot_capacity,False,"(5:33) (Shotgun) 14-S.Darnold to SEA 40 for -6 yards. FUMBLES, and recovers at SEA 39. 14-S.Darnold sacked at SEA 39 for -7 yards (11-N.Scourton). FUMBLES (11-N.Scourton), touched at SEA 41, RECOVERED by CAR-94-A.Robinson at SEA 40. 94-A.Robinson to SEA 37 for 3 yards (14-S.Darnold). FUMBLES (14-S.Darnold), recovered by CAR-56-C.Rozeboom at SEA 26. The Replay Official reviewed the fumble ruling, and the play was Upheld. The ruling on the field stands.",status_ambiguous
2025_17_SEA_CAR,1501,1,recovery,00-0034869,SEA,17,REG,False,True,,ambiguous,slot_capacity,False,"(5:33) (Shotgun) 14-S.Darnold to SEA 40 for -6 yards. FUMBLES, and recovers at SEA 39. 14-S.Darnold sacked at SEA 39 for -7 yards (11-N.Scourton). FUMBLES (11-N.Scourton), touched at SEA 41, RECOVERED by CAR-94-A.Robinson at SEA 40. 94-A.Robinson to SEA 37 for 3 yards (14-S.Darnold). FUMBLES (14-S.Darnold), recovered by CAR-56-C.Rozeboom at SEA 26. The Replay Official reviewed the fumble ruling, and the play was Upheld. The ruling on the field stands.",status_ambiguous
2025_17_SEA_CAR,1501,2,forced_fumble,00-0034869,SEA,17,REG,False,,,ambiguous,slot_capacity,False,"(5:33) (Shotgun) 14-S.Darnold to SEA 40 for -6 yards. FUMBLES, and recovers at SEA 39. 14-S.Darnold sacked at SEA 39 for -7 yards (11-N.Scourton). FUMBLES (11-N.Scourton), touched at SEA 41, RECOVERED by CAR-94-A.Robinson at SEA 40. 94-A.Robinson to SEA 37 for 3 yards (14-S.Darnold). FUMBLES (14-S.Darnold), recovered by CAR-56-C.Rozeboom at SEA 26. The Replay Official reviewed the fumble ruling, and the play was Upheld. The ruling on the field stands.",status_ambiguous
2025_17_SEA_CAR,1501,2,fumble,00-0032889,CAR,17,REG,False,,False,ambiguous,slot_capacity,False,"(5:33) (Shotgun) 14-S.Darnold to SEA 40 for -6 yards. FUMBLES, and recovers at SEA 39. 14-S.Darnold sacked at SEA 39 for -7 yards (11-N.Scourton). FUMBLES (11-N.Scourton), touched at SEA 41, RECOVERED by CAR-94-A.Robinson at SEA 40. 94-A.Robinson to SEA 37 for 3 yards (14-S.Darnold). FUMBLES (14-S.Darnold), recovered by CAR-56-C.Rozeboom at SEA 26. The Replay Official reviewed the fumble ruling, and the play was Upheld. The ruling on the field stands.",status_ambiguous
2025_17_SEA_CAR,1501,2,recovery,00-0032889,CAR,17,REG,False,True,,ambiguous,slot_capacity,False,"(5:33) (Shotgun) 14-S.Darnold to SEA 40 for -6 yards. FUMBLES, and recovers at SEA 39. 14-S.Darnold sacked at SEA 39 for -7 yards (11-N.Scourton). FUMBLES (11-N.Scourton), touched at SEA 41, RECOVERED by CAR-94-A.Robinson at SEA 40. 94-A.Robinson to SEA 37 for 3 yards (14-S.Darnold). FUMBLES (14-S.Darnold), recovered by CAR-56-C.Rozeboom at SEA 26. The Replay Official reviewed the fumble ruling, and the play was Upheld. The ruling on the field stands.",status_ambiguous
2025_17_SEA_CAR,2409,1,forced_fumble,00-0031411,SEA,17,REG,False,,,ambiguous,slot_capacity,False,"(12:06) 74-J.Curhan reported in as eligible. 30-C.Hubbard up the middle to CAR 22 for 2 yards (0-D.Lawrence; 13-E.Jones). FUMBLES (0-D.Lawrence), RECOVERED by SEA-0-D.Lawrence at CAR 21. 0-D.Lawrence for 21 yards, TOUCHDOWN. The Replay Official reviewed the runner was not down by contact ruling, and the play was REVERSED. 74-J.Curhan reported in as eligible. 30-C.Hubbard up the middle to CAR 22 for 2 yards (0-D.Lawrence; 13-E.Jones). FUMBLES (0-D.Lawrence), RECOVERED by SEA-0-D.Lawrence at CAR 21. 0-D.Lawrence to CAR 21 for no gain (72-T.Moton).",status_ambiguous
2025_17_SEA_CAR,2409,1,fumble,00-0036555,CAR,17,REG,False,,True,ambiguous,slot_capacity,False,"(12:06) 74-J.Curhan reported in as eligible. 30-C.Hubbard up the middle to CAR 22 for 2 yards (0-D.Lawrence; 13-E.Jones). FUMBLES (0-D.Lawrence), RECOVERED by SEA-0-D.Lawrence at CAR 21. 0-D.Lawrence for 21 yards, TOUCHDOWN. The Replay Official reviewed the runner was not down by contact ruling, and the play was REVERSED. 74-J.Curhan reported in as eligible. 30-C.Hubbard up the middle to CAR 22 for 2 yards (0-D.Lawrence; 13-E.Jones). FUMBLES (0-D.Lawrence), RECOVERED by SEA-0-D.Lawrence at CAR 21. 0-D.Lawrence to CAR 21 for no gain (72-T.Moton).",status_ambiguous
2025_17_SEA_CAR,2409,1,recovery,00-0031411,SEA,17,REG,False,False,,ambiguous,slot_capacity,False,"(12:06) 74-J.Curhan reported in as eligible. 30-C.Hubbard up the middle to CAR 22 for 2 yards (0-D.Lawrence; 13-E.Jones). FUMBLES (0-D.Lawrence), RECOVERED by SEA-0-D.Lawrence at CAR 21. 0-D.Lawrence for 21 yards, TOUCHDOWN. The Replay Official reviewed the runner was not down by contact ruling, and the play was REVERSED. 74-J.Curhan reported in as eligible. 30-C.Hubbard up the middle to CAR 22 for 2 yards (0-D.Lawrence; 13-E.Jones). FUMBLES (0-D.Lawrence), RECOVERED by SEA-0-D.Lawrence at CAR 21. 0-D.Lawrence to CAR 21 for no gain (72-T.Moton).",status_ambiguous
